"Date","Time","Users"
"6/7/23","11:00 AM","5862"
"6/7/23","12:00 PM","5886"
"6/7/23","01:00 PM","5865"
"6/7/23","02:00 PM","5758"
"6/7/23","03:00 PM","5555"
"6/7/23","04:00 PM","4981"
"6/7/23","05:00 PM","4201"
"6/7/23","06:00 PM","3492"
"6/7/23","07:00 PM","3029"
"6/7/23","08:00 PM","2795"
"6/7/23","09:00 PM","2585"
"6/7/23","10:00 PM","2234"
"6/7/23","11:00 PM","1764"
"6/8/23","12:00 AM","1547"
"6/8/23","01:00 AM","1515"
"6/8/23","02:00 AM","1392"
"6/8/23","03:00 AM","1280"
"6/8/23","04:00 AM","1246"
"6/8/23","05:00 AM","1257"
"6/8/23","06:00 AM","1453"
"6/8/23","07:00 AM","1918"
"6/8/23","08:00 AM","4343"
"6/8/23","09:00 AM","5612"
"6/8/23","10:00 AM","5967"
"6/8/23","11:00 AM","5821"
"6/8/23","12:00 PM","5873"
"6/8/23","01:00 PM","5846"
"6/8/23","02:00 PM","5755"
"6/8/23","03:00 PM","5564"
"6/8/23","04:00 PM","4930"
"6/8/23","05:00 PM","4059"
"6/8/23","06:00 PM","3456"
"6/8/23","07:00 PM","2950"
"6/8/23","08:00 PM","2784"
"6/8/23","09:00 PM","2513"
"6/8/23","10:00 PM","2259"
"6/8/23","11:00 PM","1752"
"6/9/23","12:00 AM","1594"
"6/9/23","01:00 AM","1504"
"6/9/23","02:00 AM","1397"
"6/9/23","03:00 AM","1291"
"6/9/23","04:00 AM","1238"
"6/9/23","05:00 AM","1255"
"6/9/23","06:00 AM","1429"
"6/9/23","07:00 AM","2344"
"6/9/23","08:00 AM","4210"
"6/9/23","09:00 AM","5312"
"6/9/23","10:00 AM","5583"
"6/9/23","11:00 AM","5360"
"6/9/23","12:00 PM","5329"
"6/9/23","01:00 PM","5242"
"6/9/23","02:00 PM","5141"
"6/9/23","03:00 PM","4856"
"6/9/23","04:00 PM","4277"
"6/9/23","05:00 PM","3547"
"6/9/23","06:00 PM","3035"
"6/9/23","07:00 PM","2668"
"6/9/23","08:00 PM","2543"
"6/9/23","09:00 PM","2308"
"6/9/23","10:00 PM","2005"
"6/9/23","11:00 PM","1566"
"6/10/23","12:00 AM","1447"
"6/10/23","01:00 AM","1405"
"6/10/23","02:00 AM","1318"
"6/10/23","03:00 AM","1230"
"6/10/23","04:00 AM","1177"
"6/10/23","05:00 AM","1176"
"6/10/23","06:00 AM","1193"
"6/10/23","07:00 AM","1530"
"6/10/23","08:00 AM","2157"
"6/10/23","09:00 AM","2357"
"6/10/23","10:00 AM","2315"
"6/10/23","11:00 AM","2086"
"6/10/23","12:00 PM","2055"
"6/10/23","01:00 PM","2035"
"6/10/23","02:00 PM","1984"
"6/10/23","03:00 PM","1919"
"6/10/23","04:00 PM","1895"
"6/10/23","05:00 PM","1802"
"6/10/23","06:00 PM","1723"
"6/10/23","07:00 PM","1743"
"6/10/23","08:00 PM","1983"
"6/10/23","09:00 PM","1960"
"6/10/23","10:00 PM","1822"
"6/10/23","11:00 PM","1439"
"6/11/23","12:00 AM","1351"
"6/11/23","01:00 AM","1313"
"6/11/23","02:00 AM","1254"
"6/11/23","03:00 AM","1170"
"6/11/23","04:00 AM","1126"
"6/11/23","05:00 AM","1123"
"6/11/23","06:00 AM","1158"
"6/11/23","07:00 AM","1444"
"6/11/23","08:00 AM","2052"
"6/11/23","09:00 AM","2239"
"6/11/23","10:00 AM","2207"
"6/11/23","11:00 AM","1946"
"6/11/23","12:00 PM","1942"
"6/11/23","01:00 PM","1941"
"6/11/23","02:00 PM","1908"
"6/11/23","03:00 PM","1875"
"6/11/23","04:00 PM","1871"
"6/11/23","05:00 PM","1845"
"6/11/23","06:00 PM","1728"
"6/11/23","07:00 PM","1823"
"6/11/23","08:00 PM","2061"
"6/11/23","09:00 PM","2064"
"6/11/23","10:00 PM","1878"
"6/11/23","11:00 PM","1506"
"6/12/23","12:00 AM","1398"
"6/12/23","01:00 AM","1314"
"6/12/23","02:00 AM","1237"
"6/12/23","03:00 AM","1165"
"6/12/23","04:00 AM","1151"
"6/12/23","05:00 AM","1161"
"6/12/23","06:00 AM","1365"
"6/12/23","07:00 AM","2308"
"6/12/23","08:00 AM","4250"
"6/12/23","09:00 AM","5476"
"6/12/23","10:00 AM","5852"
"6/12/23","11:00 AM","5782"
"6/12/23","12:00 PM","5825"
"6/12/23","01:00 PM","5785"
"6/12/23","02:00 PM","5744"
"6/12/23","03:00 PM","5550"
"6/12/23","04:00 PM","4954"
"6/12/23","05:00 PM","4077"
"6/12/23","06:00 PM","3518"
"6/12/23","07:00 PM","3046"
"6/12/23","08:00 PM","2874"
"6/12/23","09:00 PM","2616"
"6/12/23","10:00 PM","2286"
"6/12/23","11:00 PM","1757"
"6/13/23","12:00 AM","1591"
"6/13/23","01:00 AM","1488"
"6/13/23","02:00 AM","1393"
"6/13/23","03:00 AM","1291"
"6/13/23","04:00 AM","1262"
"6/13/23","05:00 AM","1267"
"6/13/23","06:00 AM","1493"
"6/13/23","07:00 AM","2463"
"6/13/23","08:00 AM","4525"
"6/13/23","09:00 AM","5801"
"6/13/23","10:00 AM","6116"
"6/13/23","11:00 AM","6021"
"6/13/23","12:00 PM","5979"
"6/13/23","01:00 PM","5952"
"6/13/23","02:00 PM","5914"
"6/13/23","03:00 PM","5641"
"6/13/23","04:00 PM","5022"
"6/13/23","05:00 PM","4204"
"6/13/23","06:00 PM","3588"
"6/13/23","07:00 PM","3090"
"6/13/23","08:00 PM","2875"
"6/13/23","09:00 PM","2608"
"6/13/23","10:00 PM","2251"
"6/13/23","11:00 PM","1727"
"6/14/23","12:00 AM","1608"
"6/14/23","01:00 AM","1443"
"6/14/23","02:00 AM","1278"
"6/14/23","03:00 AM","1266"
"6/14/23","04:00 AM","1221"
"6/14/23","05:00 AM","1214"
"6/14/23","06:00 AM","1443"
"6/14/23","07:00 AM","2308"
"6/14/23","08:00 AM","4318"
"6/14/23","09:00 AM","5571"
"6/14/23","10:00 AM","5927"
"6/14/23","11:00 AM","5798"
"6/14/23","12:00 PM","5804"
"6/14/23","01:00 PM","5750"
"6/14/23","02:00 PM","5744"
"6/14/23","03:00 PM","5545"
"6/14/23","04:00 PM","4943"
"6/14/23","05:00 PM","4099"
"6/14/23","06:00 PM","3438"
"6/14/23","07:00 PM","3007"
"6/14/23","08:00 PM","2821"
"6/14/23","09:00 PM","2568"
"6/14/23","10:00 PM","2260"
"6/14/23","11:00 PM","1740"
"6/15/23","12:00 AM","1622"
"6/15/23","01:00 AM","1519"
"6/15/23","02:00 AM","1416"
"6/15/23","03:00 AM","1329"
"6/15/23","04:00 AM","1264"
"6/15/23","05:00 AM","1288"
"6/15/23","06:00 AM","1471"
"6/15/23","07:00 AM","2388"
"6/15/23","08:00 AM","4318"
"6/15/23","09:00 AM","5505"
"6/15/23","10:00 AM","5830"
"6/15/23","11:00 AM","5679"
"6/15/23","12:00 PM","5696"
"6/15/23","01:00 PM","5641"
"6/15/23","02:00 PM","5582"
"6/15/23","03:00 PM","5357"
"6/15/23","04:00 PM","4715"
"6/15/23","05:00 PM","3953"
"6/15/23","06:00 PM","3279"
"6/15/23","07:00 PM","2849"
"6/15/23","08:00 PM","2733"
"6/15/23","09:00 PM","2490"
"6/15/23","10:00 PM","2194"
